zone,state,distance_km,risk_level,description
Ahmedabad,Gujarat,201,Low,Low-risk region
Agra,Uttar Pradesh,616,Moderate,Moderate travel area
Bengaluru,Karnataka,354,Low,Low-risk region
Kolkata,West Bengal,755,Moderate,Moderate travel area
Hyderabad,Telangana,758,Moderate,Moderate travel area
Shimla,Himachal Pradesh,870,Moderate,Moderate travel area
Bengaluru,Karnataka,756,Moderate,Moderate travel area
Raipur,Chhattisgarh,171,Low,Low-risk region
Bhopal,Madhya Pradesh,1311,High,Remote or high-distance area
Indore,Madhya Pradesh,632,Moderate,Moderate travel area
Jaipur,Rajasthan,962,Moderate,Moderate travel area
Bhubaneswar,Odisha,162,Low,Low-risk region
Nagpur,Maharashtra,169,Low,Low-risk region
Jaipur,Rajasthan,889,Moderate,Moderate travel area
Hyderabad,Telangana,1228,High,Remote or high-distance area
Bengaluru,Karnataka,353,Low,Low-risk region
Goa,Goa,910,Moderate,Moderate travel area
New Delhi,Delhi,1366,High,Remote or high-distance area
Goa,Goa,1260,High,Remote or high-distance area
Bhubaneswar,Odisha,209,Low,Low-risk region
Visakhapatnam,Andhra Pradesh,492,Low,Low-risk region
Manali,Himachal Pradesh,1182,High,Remote or high-distance area
Guwahati,Assam,730,Moderate,Moderate travel area
Ahmedabad,Gujarat,906,Moderate,Moderate travel area
Ranchi,Jharkhand,442,Low,Low-risk region
Guwahati,Assam,370,Low,Low-risk region
New Delhi,Delhi,695,Moderate,Moderate travel area
Agra,Uttar Pradesh,846,Moderate,Moderate travel area
Agra,Uttar Pradesh,416,Low,Low-risk region
Lucknow,Uttar Pradesh,551,Moderate,Moderate travel area
Amritsar,Punjab,570,Moderate,Moderate travel area
Indore,Madhya Pradesh,862,Moderate,Moderate travel area
Bengaluru,Karnataka,145,Low,Low-risk region
Surat,Gujarat,857,Moderate,Moderate travel area
Thiruvananthapuram,Kerala,472,Low,Low-risk region
Manali,Himachal Pradesh,1427,High,Remote or high-distance area
Amritsar,Punjab,555,Moderate,Moderate travel area
Shimla,Himachal Pradesh,420,Low,Low-risk region
Bhopal,Madhya Pradesh,1415,High,Remote or high-distance area
New Delhi,Delhi,1073,High,Remote or high-distance area
New Delhi,Delhi,185,Low,Low-risk region
Manali,Himachal Pradesh,595,Moderate,Moderate travel area
Nagpur,Maharashtra,896,Moderate,Moderate travel area
Thiruvananthapuram,Kerala,834,Moderate,Moderate travel area
Chennai,Tamil Nadu,1317,High,Remote or high-distance area
Surat,Gujarat,87,Low,Low-risk region
Pune,Maharashtra,495,Low,Low-risk region
Surat,Gujarat,768,Moderate,Moderate travel area
Jodhpur,Rajasthan,1420,High,Remote or high-distance area
Manali,Himachal Pradesh,315,Low,Low-risk region
Thiruvananthapuram,Kerala,315,Low,Low-risk region
Chandigarh,Chandigarh,668,Moderate,Moderate travel area
Chennai,Tamil Nadu,536,Moderate,Moderate travel area
Pune,Maharashtra,1081,High,Remote or high-distance area
Amritsar,Punjab,1331,High,Remote or high-distance area
Bhubaneswar,Odisha,905,Moderate,Moderate travel area
Chandigarh,Chandigarh,500,Moderate,Moderate travel area
Hyderabad,Telangana,378,Low,Low-risk region
Thiruvananthapuram,Kerala,167,Low,Low-risk region
Patna,Bihar,563,Moderate,Moderate travel area
Patna,Bihar,1223,High,Remote or high-distance area
Ranchi,Jharkhand,378,Low,Low-risk region
Thiruvananthapuram,Kerala,1388,High,Remote or high-distance area
Agra,Uttar Pradesh,1106,High,Remote or high-distance area
Dehradun,Uttarakhand,777,Moderate,Moderate travel area
Shimla,Himachal Pradesh,1140,High,Remote or high-distance area
Visakhapatnam,Andhra Pradesh,479,Low,Low-risk region
Raipur,Chhattisgarh,1246,High,Remote or high-distance area
Kolkata,West Bengal,1321,High,Remote or high-distance area
Nagpur,Maharashtra,102,Low,Low-risk region
Bengaluru,Karnataka,155,Low,Low-risk region
Ahmedabad,Gujarat,1015,High,Remote or high-distance area
Bhubaneswar,Odisha,86,Low,Low-risk region
Mumbai,Maharashtra,1488,High,Remote or high-distance area
Bhubaneswar,Odisha,995,Moderate,Moderate travel area
Bhopal,Madhya Pradesh,128,Low,Low-risk region
Shimla,Himachal Pradesh,730,Moderate,Moderate travel area
Surat,Gujarat,1462,High,Remote or high-distance area
Varanasi,Uttar Pradesh,800,Moderate,Moderate travel area
Chennai,Tamil Nadu,88,Low,Low-risk region
Chandigarh,Chandigarh,1361,High,Remote or high-distance area
Nagpur,Maharashtra,796,Moderate,Moderate travel area
Indore,Madhya Pradesh,1007,High,Remote or high-distance area
Guwahati,Assam,1093,High,Remote or high-distance area
New Delhi,Delhi,711,Moderate,Moderate travel area
Ahmedabad,Gujarat,123,Low,Low-risk region
Ranchi,Jharkhand,1290,High,Remote or high-distance area
Varanasi,Uttar Pradesh,273,Low,Low-risk region
Jodhpur,Rajasthan,408,Low,Low-risk region
Indore,Madhya Pradesh,938,Moderate,Moderate travel area
Varanasi,Uttar Pradesh,324,Low,Low-risk region
Amritsar,Punjab,1317,High,Remote or high-distance area
Bhopal,Madhya Pradesh,518,Moderate,Moderate travel area
Indore,Madhya Pradesh,946,Moderate,Moderate travel area
Bhubaneswar,Odisha,539,Moderate,Moderate travel area
Dehradun,Uttarakhand,884,Moderate,Moderate travel area
New Delhi,Delhi,238,Low,Low-risk region
Shimla,Himachal Pradesh,718,Moderate,Moderate travel area
Ranchi,Jharkhand,1388,High,Remote or high-distance area
Jaipur,Rajasthan,290,Low,Low-risk region
Surat,Gujarat,664,Moderate,Moderate travel area
Ahmedabad,Gujarat,224,Low,Low-risk region
Agra,Uttar Pradesh,277,Low,Low-risk region
Lucknow,Uttar Pradesh,249,Low,Low-risk region
Kolkata,West Bengal,169,Low,Low-risk region
Goa,Goa,798,Moderate,Moderate travel area
Indore,Madhya Pradesh,967,Moderate,Moderate travel area
Bengaluru,Karnataka,106,Low,Low-risk region
Bhubaneswar,Odisha,864,Moderate,Moderate travel area
Guwahati,Assam,1152,High,Remote or high-distance area
Visakhapatnam,Andhra Pradesh,459,Low,Low-risk region
Chennai,Tamil Nadu,716,Moderate,Moderate travel area
Guwahati,Assam,130,Low,Low-risk region
Kolkata,West Bengal,306,Low,Low-risk region
Pune,Maharashtra,415,Low,Low-risk region
Guwahati,Assam,789,Moderate,Moderate travel area
Lucknow,Uttar Pradesh,1478,High,Remote or high-distance area
Bhubaneswar,Odisha,523,Moderate,Moderate travel area
Agra,Uttar Pradesh,657,Moderate,Moderate travel area
Patna,Bihar,156,Low,Low-risk region
Indore,Madhya Pradesh,1005,High,Remote or high-distance area
New Delhi,Delhi,875,Moderate,Moderate travel area
Surat,Gujarat,1130,High,Remote or high-distance area
Chandigarh,Chandigarh,156,Low,Low-risk region
Amritsar,Punjab,764,Moderate,Moderate travel area
Varanasi,Uttar Pradesh,1415,High,Remote or high-distance area
Mumbai,Maharashtra,1033,High,Remote or high-distance area
Visakhapatnam,Andhra Pradesh,1043,High,Remote or high-distance area
Bhubaneswar,Odisha,599,Moderate,Moderate travel area
Indore,Madhya Pradesh,422,Low,Low-risk region
Chennai,Tamil Nadu,820,Moderate,Moderate travel area
Hyderabad,Telangana,729,Moderate,Moderate travel area
Patna,Bihar,1374,High,Remote or high-distance area
Shimla,Himachal Pradesh,775,Moderate,Moderate travel area
New Delhi,Delhi,371,Low,Low-risk region
Thiruvananthapuram,Kerala,168,Low,Low-risk region
Guwahati,Assam,726,Moderate,Moderate travel area
Surat,Gujarat,954,Moderate,Moderate travel area
Goa,Goa,1101,High,Remote or high-distance area
Bhubaneswar,Odisha,1222,High,Remote or high-distance area
Patna,Bihar,849,Moderate,Moderate travel area
Nagpur,Maharashtra,271,Low,Low-risk region
Nagpur,Maharashtra,909,Moderate,Moderate travel area
Amritsar,Punjab,821,Moderate,Moderate travel area
Shimla,Himachal Pradesh,1360,High,Remote or high-distance area
Amritsar,Punjab,1045,High,Remote or high-distance area
Varanasi,Uttar Pradesh,353,Low,Low-risk region
Hyderabad,Telangana,974,Moderate,Moderate travel area
New Delhi,Delhi,1394,High,Remote or high-distance area
Varanasi,Uttar Pradesh,1123,High,Remote or high-distance area
Chandigarh,Chandigarh,847,Moderate,Moderate travel area
Nagpur,Maharashtra,303,Low,Low-risk region
Pune,Maharashtra,930,Moderate,Moderate travel area
Goa,Goa,751,Moderate,Moderate travel area
Lucknow,Uttar Pradesh,138,Low,Low-risk region
Varanasi,Uttar Pradesh,1393,High,Remote or high-distance area
Pune,Maharashtra,82,Low,Low-risk region
Bengaluru,Karnataka,937,Moderate,Moderate travel area
Manali,Himachal Pradesh,1281,High,Remote or high-distance area
Raipur,Chhattisgarh,1164,High,Remote or high-distance area
Ahmedabad,Gujarat,1453,High,Remote or high-distance area
Amritsar,Punjab,1383,High,Remote or high-distance area
Goa,Goa,678,Moderate,Moderate travel area
Dehradun,Uttarakhand,88,Low,Low-risk region
Ahmedabad,Gujarat,1283,High,Remote or high-distance area
Raipur,Chhattisgarh,1014,High,Remote or high-distance area
Bhopal,Madhya Pradesh,977,Moderate,Moderate travel area
Bengaluru,Karnataka,1335,High,Remote or high-distance area
Chandigarh,Chandigarh,1114,High,Remote or high-distance area
Thiruvananthapuram,Kerala,188,Low,Low-risk region
Bengaluru,Karnataka,767,Moderate,Moderate travel area
Ahmedabad,Gujarat,181,Low,Low-risk region
Agra,Uttar Pradesh,937,Moderate,Moderate travel area
Goa,Goa,334,Low,Low-risk region
Kolkata,West Bengal,1195,High,Remote or high-distance area
Mumbai,Maharashtra,454,Low,Low-risk region
Nagpur,Maharashtra,458,Low,Low-risk region
Amritsar,Punjab,1281,High,Remote or high-distance area
Bengaluru,Karnataka,1059,High,Remote or high-distance area
Visakhapatnam,Andhra Pradesh,682,Moderate,Moderate travel area
Nagpur,Maharashtra,795,Moderate,Moderate travel area
Hyderabad,Telangana,473,Low,Low-risk region
Pune,Maharashtra,643,Moderate,Moderate travel area
Thiruvananthapuram,Kerala,142,Low,Low-risk region
Mumbai,Maharashtra,1088,High,Remote or high-distance area
Kolkata,West Bengal,1235,High,Remote or high-distance area
New Delhi,Delhi,884,Moderate,Moderate travel area
Agra,Uttar Pradesh,934,Moderate,Moderate travel area
Varanasi,Uttar Pradesh,1175,High,Remote or high-distance area
Hyderabad,Telangana,266,Low,Low-risk region
Pune,Maharashtra,1220,High,Remote or high-distance area
Goa,Goa,1055,High,Remote or high-distance area
Chandigarh,Chandigarh,605,Moderate,Moderate travel area
Shimla,Himachal Pradesh,194,Low,Low-risk region
Ahmedabad,Gujarat,876,Moderate,Moderate travel area
Varanasi,Uttar Pradesh,180,Low,Low-risk region
Amritsar,Punjab,1358,High,Remote or high-distance area
Surat,Gujarat,487,Low,Low-risk region
Surat,Gujarat,1144,High,Remote or high-distance area
Jaipur,Rajasthan,1016,High,Remote or high-distance area
Jodhpur,Rajasthan,666,Moderate,Moderate travel area
Manali,Himachal Pradesh,765,Moderate,Moderate travel area
Ranchi,Jharkhand,1159,High,Remote or high-distance area
Bhopal,Madhya Pradesh,561,Moderate,Moderate travel area
Bhubaneswar,Odisha,936,Moderate,Moderate travel area
Jodhpur,Rajasthan,723,Moderate,Moderate travel area
Varanasi,Uttar Pradesh,1275,High,Remote or high-distance area
Jaipur,Rajasthan,158,Low,Low-risk region
Shimla,Himachal Pradesh,997,Moderate,Moderate travel area
Jaipur,Rajasthan,1164,High,Remote or high-distance area
Nagpur,Maharashtra,1489,High,Remote or high-distance area
Thiruvananthapuram,Kerala,1351,High,Remote or high-distance area
Kolkata,West Bengal,1286,High,Remote or high-distance area
Visakhapatnam,Andhra Pradesh,883,Moderate,Moderate travel area
Pune,Maharashtra,591,Moderate,Moderate travel area
Chandigarh,Chandigarh,967,Moderate,Moderate travel area
Mumbai,Maharashtra,833,Moderate,Moderate travel area
Lucknow,Uttar Pradesh,862,Moderate,Moderate travel area
Patna,Bihar,1416,High,Remote or high-distance area
Guwahati,Assam,122,Low,Low-risk region
New Delhi,Delhi,925,Moderate,Moderate travel area
Dehradun,Uttarakhand,1400,High,Remote or high-distance area
Patna,Bihar,1248,High,Remote or high-distance area
Thiruvananthapuram,Kerala,1454,High,Remote or high-distance area
Surat,Gujarat,646,Moderate,Moderate travel area
Surat,Gujarat,1398,High,Remote or high-distance area
New Delhi,Delhi,1305,High,Remote or high-distance area
Kolkata,West Bengal,804,Moderate,Moderate travel area
Nagpur,Maharashtra,204,Low,Low-risk region
Goa,Goa,172,Low,Low-risk region
New Delhi,Delhi,474,Low,Low-risk region
Chandigarh,Chandigarh,1231,High,Remote or high-distance area
Hyderabad,Telangana,1402,High,Remote or high-distance area
Kolkata,West Bengal,788,Moderate,Moderate travel area
Ranchi,Jharkhand,1026,High,Remote or high-distance area
Raipur,Chhattisgarh,159,Low,Low-risk region
Nagpur,Maharashtra,446,Low,Low-risk region
Varanasi,Uttar Pradesh,1259,High,Remote or high-distance area
Chandigarh,Chandigarh,1494,High,Remote or high-distance area
Agra,Uttar Pradesh,351,Low,Low-risk region
Hyderabad,Telangana,905,Moderate,Moderate travel area
Mumbai,Maharashtra,251,Low,Low-risk region
Thiruvananthapuram,Kerala,1017,High,Remote or high-distance area
Hyderabad,Telangana,1288,High,Remote or high-distance area
Chandigarh,Chandigarh,874,Moderate,Moderate travel area
New Delhi,Delhi,939,Moderate,Moderate travel area
Guwahati,Assam,1175,High,Remote or high-distance area
Dehradun,Uttarakhand,1089,High,Remote or high-distance area
Dehradun,Uttarakhand,1317,High,Remote or high-distance area
Patna,Bihar,1315,High,Remote or high-distance area
Bengaluru,Karnataka,1020,High,Remote or high-distance area
Agra,Uttar Pradesh,128,Low,Low-risk region
Nagpur,Maharashtra,1070,High,Remote or high-distance area
Indore,Madhya Pradesh,1145,High,Remote or high-distance area
Hyderabad,Telangana,1051,High,Remote or high-distance area
Bhubaneswar,Odisha,282,Low,Low-risk region
Bhubaneswar,Odisha,1356,High,Remote or high-distance area
Jodhpur,Rajasthan,1435,High,Remote or high-distance area
Ranchi,Jharkhand,1261,High,Remote or high-distance area
Thiruvananthapuram,Kerala,526,Moderate,Moderate travel area
Agra,Uttar Pradesh,283,Low,Low-risk region
Jaipur,Rajasthan,1489,High,Remote or high-distance area
Lucknow,Uttar Pradesh,504,Moderate,Moderate travel area
Guwahati,Assam,725,Moderate,Moderate travel area
Dehradun,Uttarakhand,88,Low,Low-risk region
Dehradun,Uttarakhand,621,Moderate,Moderate travel area
Raipur,Chhattisgarh,539,Moderate,Moderate travel area
Shimla,Himachal Pradesh,341,Low,Low-risk region
Raipur,Chhattisgarh,1167,High,Remote or high-distance area
Shimla,Himachal Pradesh,197,Low,Low-risk region
Hyderabad,Telangana,1076,High,Remote or high-distance area
Pune,Maharashtra,729,Moderate,Moderate travel area
Amritsar,Punjab,896,Moderate,Moderate travel area
Dehradun,Uttarakhand,578,Moderate,Moderate travel area
Ranchi,Jharkhand,106,Low,Low-risk region
Raipur,Chhattisgarh,1023,High,Remote or high-distance area
Varanasi,Uttar Pradesh,105,Low,Low-risk region
Jaipur,Rajasthan,489,Low,Low-risk region
Jaipur,Rajasthan,638,Moderate,Moderate travel area
Surat,Gujarat,595,Moderate,Moderate travel area
Varanasi,Uttar Pradesh,805,Moderate,Moderate travel area
Varanasi,Uttar Pradesh,181,Low,Low-risk region
Jodhpur,Rajasthan,790,Moderate,Moderate travel area
Jodhpur,Rajasthan,234,Low,Low-risk region
Patna,Bihar,1114,High,Remote or high-distance area
Bhopal,Madhya Pradesh,1242,High,Remote or high-distance area
Shimla,Himachal Pradesh,1268,High,Remote or high-distance area
Guwahati,Assam,653,Moderate,Moderate travel area
Kolkata,West Bengal,1196,High,Remote or high-distance area
Dehradun,Uttarakhand,1348,High,Remote or high-distance area
Bhubaneswar,Odisha,1430,High,Remote or high-distance area
Dehradun,Uttarakhand,593,Moderate,Moderate travel area
Bhopal,Madhya Pradesh,900,Moderate,Moderate travel area
Shimla,Himachal Pradesh,610,Moderate,Moderate travel area
Bhubaneswar,Odisha,810,Moderate,Moderate travel area
Ranchi,Jharkhand,130,Low,Low-risk region
Lucknow,Uttar Pradesh,902,Moderate,Moderate travel area
Lucknow,Uttar Pradesh,953,Moderate,Moderate travel area
Jodhpur,Rajasthan,833,Moderate,Moderate travel area
Visakhapatnam,Andhra Pradesh,113,Low,Low-risk region
Dehradun,Uttarakhand,357,Low,Low-risk region
Chandigarh,Chandigarh,820,Moderate,Moderate travel area
Jaipur,Rajasthan,621,Moderate,Moderate travel area
Visakhapatnam,Andhra Pradesh,399,Low,Low-risk region
New Delhi,Delhi,1148,High,Remote or high-distance area
Lucknow,Uttar Pradesh,899,Moderate,Moderate travel area
Raipur,Chhattisgarh,1126,High,Remote or high-distance area
Chennai,Tamil Nadu,311,Low,Low-risk region
Ranchi,Jharkhand,83,Low,Low-risk region
Lucknow,Uttar Pradesh,186,Low,Low-risk region
Shimla,Himachal Pradesh,886,Moderate,Moderate travel area
Dehradun,Uttarakhand,679,Moderate,Moderate travel area
Varanasi,Uttar Pradesh,976,Moderate,Moderate travel area
Ahmedabad,Gujarat,1089,High,Remote or high-distance area
Hyderabad,Telangana,948,Moderate,Moderate travel area
Bhubaneswar,Odisha,769,Moderate,Moderate travel area
Kolkata,West Bengal,563,Moderate,Moderate travel area
Goa,Goa,560,Moderate,Moderate travel area
Shimla,Himachal Pradesh,531,Moderate,Moderate travel area
New Delhi,Delhi,1401,High,Remote or high-distance area
Agra,Uttar Pradesh,1378,High,Remote or high-distance area
Ranchi,Jharkhand,1396,High,Remote or high-distance area
Mumbai,Maharashtra,410,Low,Low-risk region
Indore,Madhya Pradesh,1107,High,Remote or high-distance area
Varanasi,Uttar Pradesh,1460,High,Remote or high-distance area
Guwahati,Assam,683,Moderate,Moderate travel area
New Delhi,Delhi,592,Moderate,Moderate travel area
Kolkata,West Bengal,1235,High,Remote or high-distance area
Raipur,Chhattisgarh,341,Low,Low-risk region
Nagpur,Maharashtra,1313,High,Remote or high-distance area
Goa,Goa,1015,High,Remote or high-distance area
Chandigarh,Chandigarh,355,Low,Low-risk region
Indore,Madhya Pradesh,1398,High,Remote or high-distance area
Agra,Uttar Pradesh,1238,High,Remote or high-distance area
Agra,Uttar Pradesh,1188,High,Remote or high-distance area
Manali,Himachal Pradesh,527,Moderate,Moderate travel area
Dehradun,Uttarakhand,125,Low,Low-risk region
Lucknow,Uttar Pradesh,205,Low,Low-risk region
Goa,Goa,1016,High,Remote or high-distance area
New Delhi,Delhi,535,Moderate,Moderate travel area
Ranchi,Jharkhand,164,Low,Low-risk region
Surat,Gujarat,1272,High,Remote or high-distance area
Lucknow,Uttar Pradesh,1243,High,Remote or high-distance area
Bhopal,Madhya Pradesh,861,Moderate,Moderate travel area
Ranchi,Jharkhand,883,Moderate,Moderate travel area
Bhubaneswar,Odisha,783,Moderate,Moderate travel area
Raipur,Chhattisgarh,104,Low,Low-risk region
Ranchi,Jharkhand,1484,High,Remote or high-distance area
Amritsar,Punjab,945,Moderate,Moderate travel area
Amritsar,Punjab,782,Moderate,Moderate travel area
Amritsar,Punjab,576,Moderate,Moderate travel area
Ranchi,Jharkhand,500,Moderate,Moderate travel area
Goa,Goa,209,Low,Low-risk region
Lucknow,Uttar Pradesh,1439,High,Remote or high-distance area
Pune,Maharashtra,587,Moderate,Moderate travel area
New Delhi,Delhi,1481,High,Remote or high-distance area
Kolkata,West Bengal,322,Low,Low-risk region
Hyderabad,Telangana,1268,High,Remote or high-distance area
Varanasi,Uttar Pradesh,106,Low,Low-risk region
Jaipur,Rajasthan,488,Low,Low-risk region
Shimla,Himachal Pradesh,345,Low,Low-risk region
Shimla,Himachal Pradesh,1314,High,Remote or high-distance area
New Delhi,Delhi,1224,High,Remote or high-distance area
Nagpur,Maharashtra,62,Low,Low-risk region
Bhubaneswar,Odisha,208,Low,Low-risk region
Pune,Maharashtra,506,Moderate,Moderate travel area
Bhubaneswar,Odisha,302,Low,Low-risk region
Pune,Maharashtra,1343,High,Remote or high-distance area
Indore,Madhya Pradesh,300,Low,Low-risk region
Pune,Maharashtra,421,Low,Low-risk region
Hyderabad,Telangana,656,Moderate,Moderate travel area
Raipur,Chhattisgarh,706,Moderate,Moderate travel area
Bhopal,Madhya Pradesh,325,Low,Low-risk region
Bhubaneswar,Odisha,179,Low,Low-risk region
Lucknow,Uttar Pradesh,606,Moderate,Moderate travel area
Varanasi,Uttar Pradesh,320,Low,Low-risk region
Ranchi,Jharkhand,1298,High,Remote or high-distance area
Ahmedabad,Gujarat,223,Low,Low-risk region
Pune,Maharashtra,529,Moderate,Moderate travel area
Lucknow,Uttar Pradesh,1394,High,Remote or high-distance area
Bhopal,Madhya Pradesh,385,Low,Low-risk region
Ranchi,Jharkhand,841,Moderate,Moderate travel area
Chennai,Tamil Nadu,803,Moderate,Moderate travel area
Visakhapatnam,Andhra Pradesh,556,Moderate,Moderate travel area
Pune,Maharashtra,897,Moderate,Moderate travel area
Guwahati,Assam,112,Low,Low-risk region
Mumbai,Maharashtra,1039,High,Remote or high-distance area
Kolkata,West Bengal,347,Low,Low-risk region
Manali,Himachal Pradesh,478,Low,Low-risk region
Agra,Uttar Pradesh,835,Moderate,Moderate travel area
Jaipur,Rajasthan,367,Low,Low-risk region
Manali,Himachal Pradesh,696,Moderate,Moderate travel area
Hyderabad,Telangana,916,Moderate,Moderate travel area
Amritsar,Punjab,144,Low,Low-risk region
Hyderabad,Telangana,929,Moderate,Moderate travel area
Goa,Goa,394,Low,Low-risk region
Surat,Gujarat,75,Low,Low-risk region
Hyderabad,Telangana,1239,High,Remote or high-distance area
Jodhpur,Rajasthan,393,Low,Low-risk region
Chandigarh,Chandigarh,178,Low,Low-risk region
Shimla,Himachal Pradesh,1040,High,Remote or high-distance area
Hyderabad,Telangana,877,Moderate,Moderate travel area
Varanasi,Uttar Pradesh,297,Low,Low-risk region
Nagpur,Maharashtra,1206,High,Remote or high-distance area
Agra,Uttar Pradesh,1138,High,Remote or high-distance area
Dehradun,Uttarakhand,928,Moderate,Moderate travel area
Pune,Maharashtra,1015,High,Remote or high-distance area
Indore,Madhya Pradesh,255,Low,Low-risk region
Goa,Goa,125,Low,Low-risk region
New Delhi,Delhi,709,Moderate,Moderate travel area
Amritsar,Punjab,1098,High,Remote or high-distance area
Bhubaneswar,Odisha,580,Moderate,Moderate travel area
Shimla,Himachal Pradesh,1158,High,Remote or high-distance area
Chandigarh,Chandigarh,738,Moderate,Moderate travel area
Bhopal,Madhya Pradesh,106,Low,Low-risk region
Surat,Gujarat,718,Moderate,Moderate travel area
Lucknow,Uttar Pradesh,64,Low,Low-risk region
Surat,Gujarat,1219,High,Remote or high-distance area
Chennai,Tamil Nadu,393,Low,Low-risk region
Jaipur,Rajasthan,887,Moderate,Moderate travel area
Thiruvananthapuram,Kerala,314,Low,Low-risk region
Kolkata,West Bengal,88,Low,Low-risk region
Hyderabad,Telangana,765,Moderate,Moderate travel area
Dehradun,Uttarakhand,1500,High,Remote or high-distance area
Jaipur,Rajasthan,1223,High,Remote or high-distance area
Indore,Madhya Pradesh,67,Low,Low-risk region
Goa,Goa,1426,High,Remote or high-distance area
